CustomerID,PurchaseFrequency,TotalQuantity,AvgUnitPrice,TotalSpend,LastInvoiceDate,Country,ReturnedQuantity,Recency,AvgOrderValue,Churn,ReturnRate
12346.0,1,74215,1.04,77183.6,2011-01-18 10:01:00,United Kingdom,74215.0,325,77183.6,1,0.5
12347.0,7,2458,2.64,4310.0,2011-12-07 15:52:00,Iceland,0.0,1,615.71,0,0.0
12348.0,4,2341,5.76,1797.24,2011-09-25 13:13:00,Finland,0.0,74,449.31,0,0.0
12349.0,1,631,8.29,1757.55,2011-11-21 09:51:00,Italy,0.0,18,1757.55,1,0.0
12350.0,1,197,3.84,334.4,2011-02-02 16:01:00,Norway,0.0,309,334.4,1,0.0
12352.0,8,536,15.93,2506.04,2011-11-03 14:37:00,Norway,66.0,35,313.26,0,0.11
12353.0,1,20,6.07,89.0,2011-05-19 17:47:00,Bahrain,0.0,203,89.0,1,0.0
12354.0,1,530,4.5,1079.4,2011-04-21 13:11:00,Spain,0.0,231,1079.4,1,0.0
12355.0,1,240,4.2,459.4,2011-05-09 13:49:00,Bahrain,0.0,213,459.4,1,0.0
12356.0,3,1591,3.2,2811.43,2011-11-17 08:40:00,Portugal,0.0,22,937.14,0,0.0
12357.0,1,2708,3.35,6207.67,2011-11-06 16:07:00,Switzerland,0.0,32,6207.67,1,0.0
12358.0,2,248,8.27,1168.06,2011-12-08 10:26:00,Austria,0.0,1,584.03,0,0.0
12359.0,4,1622,8.62,6372.58,2011-10-13 12:47:00,Cyprus,10.0,57,1593.14,0,0.01
12360.0,3,1165,3.55,2662.06,2011-10-18 15:22:00,Austria,0.0,51,887.35,0,0.0
12361.0,1,91,3.34,189.9,2011-02-25 13:51:00,Belgium,0.0,286,189.9,1,0.0
12362.0,10,2229,3.94,5226.23,2011-12-06 15:40:00,Belgium,17.0,2,522.62,0,0.01
12363.0,2,408,2.31,552.0,2011-08-22 10:18:00,Unspecified,0.0,109,276.0,0,0.0
12364.0,4,1506,1.91,1313.1,2011-12-02 10:22:00,Belgium,0.0,7,328.28,0,0.0
12365.0,2,174,17.15,641.38,2011-02-21 14:04:00,Cyprus,1.0,290,320.69,0,0.01
12367.0,1,173,3.2,168.9,2011-12-05 16:48:00,Denmark,0.0,3,168.9,1,0.0
12370.0,4,2353,2.8,3545.69,2011-10-19 14:51:00,Cyprus,0.0,50,886.42,0,0.0
12371.0,2,591,3.87,1887.96,2011-10-26 10:16:00,Switzerland,0.0,44,943.98,0,0.0
12372.0,3,794,3.0,1298.04,2011-09-29 12:12:00,Denmark,0.0,71,432.68,0,0.0
12373.0,1,197,4.58,364.6,2011-02-01 13:10:00,Austria,0.0,310,364.6,1,0.0
12374.0,1,342,4.22,742.93,2011-11-14 15:37:00,Austria,0.0,24,742.93,1,0.0
12375.0,2,178,6.91,457.5,2011-11-29 10:36:00,Finland,1.0,10,228.75,0,0.01
12377.0,2,944,2.72,1628.12,2011-01-28 15:45:00,Switzerland,0.0,314,814.06,0,0.0
12378.0,1,2529,3.0,4008.62,2011-08-02 10:34:00,Switzerland,0.0,129,4008.62,1,0.0
12379.0,2,407,2.87,852.24,2011-09-19 10:09:00,Belgium,1.0,81,426.12,0,0.0
12380.0,4,1127,3.38,2724.81,2011-11-18 11:27:00,Belgium,1.0,21,681.2,0,0.0
12381.0,5,808,4.68,1845.31,2011-12-05 12:44:00,Norway,25.0,4,369.06,0,0.03
12383.0,5,1532,3.09,1850.56,2011-06-08 08:02:00,Belgium,3.0,184,370.11,0,0.0
12384.0,2,126,7.88,585.27,2011-11-11 08:39:00,Switzerland,5.0,28,292.64,0,0.04
12386.0,2,354,2.39,401.9,2011-01-06 12:37:00,Australia,0.0,337,200.95,0,0.0
12388.0,6,1462,2.78,2780.66,2011-11-24 12:30:00,Australia,0.0,15,463.44,0,0.0
12390.0,1,353,4.0,549.84,2011-09-21 09:33:00,Belgium,0.0,79,549.84,1,0.0
12391.0,1,300,2.46,460.89,2011-11-18 12:07:00,Cyprus,0.0,21,460.89,1,0.0
12393.0,4,816,2.28,1582.6,2011-09-28 15:41:00,Australia,0.0,71,395.65,0,0.0
12394.0,2,819,3.37,1272.48,2011-10-07 08:08:00,Belgium,0.0,63,636.24,0,0.0
12395.0,12,2118,3.97,3018.63,2011-11-20 15:21:00,Belgium,5.0,18,251.55,0,0.0
12397.0,2,1263,3.47,2409.9,2011-11-04 09:52:00,Belgium,0.0,35,1204.95,0,0.0
12398.0,1,1394,1.99,1635.66,2011-10-25 10:27:00,Switzerland,0.0,45,1635.66,1,0.0
12399.0,4,1178,2.11,1108.65,2011-08-12 13:15:00,Belgium,0.0,118,277.16,0,0.0
12401.0,1,11,9.68,84.3,2011-02-09 13:50:00,Belgium,0.0,302,84.3,1,0.0
12402.0,1,94,3.29,225.6,2011-01-20 13:49:00,Belgium,0.0,322,225.6,1,0.0
12403.0,1,96,7.08,427.7,2011-10-21 10:51:00,Denmark,1.0,49,427.7,1,0.01
12405.0,1,857,3.54,1710.39,2011-07-14 08:52:00,Finland,0.0,148,1710.39,1,0.0
12406.0,2,1818,2.49,3415.3,2011-11-17 19:22:00,Denmark,9.0,21,1707.65,0,0.0
12407.0,5,1416,3.27,1708.12,2011-10-21 10:11:00,Belgium,0.0,49,341.62,0,0.0
12408.0,5,1409,3.02,2888.55,2011-11-07 12:27:00,Belgium,10.0,32,577.71,0,0.01
12409.0,3,5551,3.57,11072.67,2011-09-22 10:38:00,Switzerland,8.0,78,3690.89,0,0.0
12410.0,2,211,6.34,693.33,2011-02-04 10:39:00,Switzerland,2.0,308,346.66,0,0.01
12412.0,3,829,2.71,1226.88,2011-09-26 10:16:00,Denmark,0.0,74,408.96,0,0.0
